case_id,title,description,project,user_query,final_intent,max_turns,expected_tools,case_type,fixtures
CASE_031,无价格信息·所有路径禁止价格/促销内容,商品信息中无任何价格/折扣字段 → 生成路径和文案中不得出现价格相关内容,素材策略,帮我做一款高端香薰蜡烛的广告素材，品牌叫「寂静之地」，核心卖点是手工调香、大豆蜡原料、燃烧时长80小时，上传了商品图，不需要展示价格,Agent 提取商品信息后 price_info 字段为 null；用户确认后，生成的所有策略路径 L1-L4 中不含任何价格/折扣/促销描述；生成的卡片文案三套均不出现价格相关词汇；生图 Prompt 不含价格样式描述。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_household.jpg
CASE_032,商品信息丰富·生成含 UGC 洞察路径,商品有多个卖点且含用户评价摘要 → 路径中应包含基于 UGC 高频痛点/爽点的独立路径,素材策略,帮我做一款跑步鞋的广告素材，品牌是闪迁，卖点：碳纤维鞋底、回弹科技、透气针织鞋面、重量仅210克，用户普遍反馈穿着跑完10公里脚不痛、显腿长，售价599，上传了商品图,Agent 从用户反馈中提取高频爽点（脚不痛、显腿长），生成的路径中至少有一条以 UGC 洞察为 L1/L2 基础的独立路径，且该路径与以官方卖点为基础的路径有本质差异；HITL 2 用户选路径后正常生成卡片，包含价格相关文案。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_clothing.jpg
CASE_033,商品信息极少·宁缺毋滥不强行生成,用户仅填 1 个卖点，路径数量应减少或给出提示，不强行生成相似路径,素材策略,帮我做广告，商品是护手霜，就一个卖点：保湿，没有更多信息，上传了商品图,Agent 触发 HITL 1，用户确认后进行路径生成；由于卖点只有一个，Agent 生成的路径数量较少（1-2条），且不强行生成高度相似的路径；若质量门控过滤后路径数为0，给出提示建议补充更多卖点；如有路径则用户选择后正常生成卡片。,12,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_skincare.jpg
CASE_034,L3 心理钩子·严格限于 6 种之一,正常推演流程中验证每条路径的 L3 心理钩子类型在规定 6 种范围内,素材策略,帮我做一款智能手表的广告素材，品牌叫「腕界」，卖点：血氧心率监测、14天续航、军规防摔认证、运动模式100+，主打户外运动爱好者，没有价格，上传了商品图,Agent 生成多条路径，每条路径的 L3 心理钩子只从以下 6 种中选取：身份认同 / 损失厌恶 / 限时紧迫 / 反差对比 / 认知失调 / 情感共鸣；不出现任何 6 种以外的心理钩子描述；用户在 HITL 2 选择路径后正常生成卡片。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_035,L2 具体化·包含人群+场合+痛点三要素,验证每条路径 L2 包含具体人群、场合、痛点/爽点，不使用宽泛标签,素材策略,帮我做儿童防晒霜的广告素材，卖点：SPF50+、PA++++、温和无刺激、防水4小时，适合0-12岁儿童，没有价格，我上传了商品图,Agent 生成的每条路径 L2 描述均具体到：特定人群（如「3-6岁上幼儿园的孩子的妈妈」）+ 具体场合（如「户外游乐场游玩」）+ 痛点/爽点（如「担心化学成分刺激皮肤」）；不出现「儿童家长」「宝妈群体」等宽泛标签；HITL 2 用户选路径后正常生成卡片。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_skincare.jpg
CASE_036,质量门控·L2 缺三要素的路径被过滤,路径生成后质量门控应过滤掉 L2 缺少三要素的路径，不传入 Prompt 5,素材策略,帮我做一款蛋白粉的广告素材，品牌健力来，核心卖点是25g蛋白/份，用于健身，上传了商品图，没有价格,Agent 生成路径后，质量门控应过滤 L2 仅有人群但无场合或无痛点的低质路径；过滤后剩余路径进入 HITL 2；用户选择路径后正常生成卡片；被过滤的路径不出现在 HITL 2 展示列表中；前端展示的卡片数量等于通过质量门控的路径数量。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_food.jpg
CASE_040,HITL 2·用户选择 1 条路径生成卡片,路径选择时用户仅选 1 条 → 仅生成 1 张卡片，不多不少,素材策略,帮我做无线充电器的广告素材，品牌闪充，卖点：65W超快充、多设备同充、折叠便携，主打商务人士，没有价格，已上传商品图,Agent 完成信息确认和路径生成后，在 HITL 2 展示多条路径卡片；用户仅选择1条路径后确认；Agent 只并发生成1张创意卡片；HITL 3 提交1张卡片；卡片内容完整，包含 image_module 和 copy_variants。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_041,HITL 2·用户选择多条路径·并发生成所有卡片,用户在路径选择时选中 3 条路径 → Agent 并发生成所有卡片，全部完整提交,素材策略,我们的瑜伽裤品牌叫瑜觉，卖点：4D弹力、提臀设计、快干面料、防透视，主打运动女性，售价199元，已上传商品图,Agent 完成信息确认、行业初始化和路径生成后，在 HITL 2 用户选择3条路径；Agent 并发调用 Prompt 5 和 6 生成3张卡片；HITL 3 提交3张完整卡片；3张卡片各对应不同路径，L2 人群场景各不相同，内容有本质差异。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 抠图处理 / 参考图生成,branch,img_clothing.jpg
CASE_042,HITL 2·空选提交被前端阻断,路径选择时用户不选任何路径直接提交 → 被阻断，提示至少选择 1 条后才能继续,素材策略,帮我做扫地机器人的广告素材，品牌是净境，卖点：激光导航、3000Pa吸力、可拖可扫、App远程控制，没有价格，已上传商品图,Agent 完成信息确认和路径生成，在 HITL 2 展示路径列表；测试中用户不勾选任何路径直接点击确认提交；前端阻断操作，显示提示「请至少选择 1 条路径」；用户随后选择至少 1 条路径后流程继续，正常完成卡片生成。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_043,HITL 2·用户附加补充说明·说明传入后续 Prompt,用户在路径选择时附加补充说明文本 → 说明内容应传入 Prompt 5/6 影响卡片生成,素材策略,帮我做一款电动牙刷的广告素材，品牌声波洁，卖点：36000次/分钟高频震动、智能压感提醒、附赠6个刷头、APP连接，没有价格，已上传商品图,Agent 完成路径生成后在 HITL 2 展示路径列表；用户选择2条路径，在补充说明文本框输入「画面风格偏简约白色背景更高级，文案语气简洁有力不要太啰嗦」；Agent 生成的卡片中 image_module 的 style 体现简约白色风格，copy_variants 的文案语气较为简洁；说明被实际采纳进生成结果。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_050,创意卡片·图片模块三项均完整,生成的卡片 image_module 中 scene_description / composition / style 三项均非空且有实质内容,素材策略,帮我做一款保温杯的广告素材，品牌是热享，卖点：24小时保温、316不锈钢内胆、一键开盖、500ml容量，主打户外上班两用人群，没有价格，已上传商品图,Agent 完成全链路后生成创意卡片；验证每张卡片的 image_module 中：scene_description（场景描述）非空且有具体内容 / composition（构图说明）非空 / style（风格基调）非空；三项均有实质性描述，不是空字符串或占位符。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_household.jpg
CASE_051,创意卡片·文案三套有本质差异,卡片 copy_variants 中 v1/v2/v3 文案角度有本质差异，headline 风格明显不同,素材策略,帮我做一款面部按摩仪的广告素材，品牌叫焕颜，卖点：射频紧肤、微电流提拉、四合一头部可替换、医美级别，没有价格，已上传商品图,Agent 生成创意卡片后，copy_variants 中三套文案角度有明显不同：v1 主标题体现数字或参数（如「射频36℃深层紧肤」）；v2 主标题讲场景故事（如「下班15分钟，在家做医美」）；v3 主标题用反问或对比钩子（如「花几千做医美？先试试这个」）；三套 headline 风格明显可辨。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_skincare.jpg
CASE_052,生图 Prompt·英文≤150词且含 SHOP NOW CTA,验证每张卡片的英文生图 Prompt 格式：英文、≤150词、含 SHOP NOW CTA 位于右下角,素材策略,帮我做一款男士香水的广告素材，品牌叫黑森林，卖点：龙涎香基调、持香12小时、木质调前中后调分层、50ml精装，没有价格，已上传商品图,Agent 生成卡片后，验证每张卡片的 image_prompt 字段：语言为英文；词数不超过150词；包含 SHOP NOW CTA（如「SHOP NOW button at bottom right corner」）；风格为 photorealistic e-commerce ad；不出现中文字符。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_skincare.jpg
CASE_053,有价格信息·至少 1 套文案含价格表达,商品有折扣价格信息时，卡片文案至少有 1 套含价格相关表达,素材策略,帮我做一款空气炸锅的广告素材，品牌聚享，卖点：6L大容量、双层可视窗、智能温控精准±1℃、不粘涂层，原价299现在199，已上传商品图,Agent 从输入中识别价格信息（原价299/现价199），确认页 price_info 字段有值；用户确认并选择路径后，生成的卡片 copy_variants 中至少有 1 套文案（v1/v2/v3 任一）在 headline 或 detail_copy 中含有价格相关表达（如「199元」「立省100元」「现在只要199」）。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_household.jpg
CASE_054,无价格信息·所有文案禁止价格/折扣内容,price_info 为 null 时，生成的所有文案均不得出现价格/折扣相关表达,素材策略,帮我做一款手工皮具钱包的广告素材，品牌是匠心皮作，卖点：头层牛皮、手工缝线、包浆越用越好看、RFID防盗，没有价格不展示价格，已上传商品图,Agent 识别商品无价格信息（price_info=null）；用户确认后路径生成和卡片生成全程不含任何价格/折扣/促销相关内容；三套文案 v1/v2/v3 均不出现价格数字、折扣描述（如「特惠」「立减」「限时」等）；生图 Prompt 不含价格样式描述。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_skincare.jpg
CASE_060,Prompt 7·NL 视觉修改路由至 visual,用户对已生成卡片输入视觉修改指令 → 路由至 visual，仅重绘图片，文案和路径不变,素材策略,帮我做一款台灯的广告素材，品牌光明视界，卖点：护眼无频闪、色温可调3档、USB-C供电、折叠便携，没有价格，已上传商品图,Agent 完成全链路生成卡片后；测试中用户输入 NL 指令「背景换成白色简洁风格，更高级一点」；Prompt 7 识别为 visual 层修改；Agent 仅调用 Prompt 6 重绘参考图，copy_variants 内容保持不变，路径 L1-L4 保持不变；重绘完成后卡片仅图片部分更新。,18,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_061,Prompt 7·NL 文案修改路由至 copy,用户对已生成卡片输入文案修改指令 → 路由至 copy，仅重写文案，图片和路径不变,素材策略,帮我做一款宠物冻干粮的广告素材，品牌爱宠鲜，卖点：96%纯肉、天然成分无添加、猫咪挑食克星、多口味，没有价格，已上传商品图,Agent 完成全链路生成卡片后；测试中用户输入 NL 指令「标题语气改得更有趣一点，像在跟猫咪说话的感觉」；Prompt 7 识别为 copy 层修改；Agent 仅调用 Prompt 5 重写 copy_variants，image_prompt 和参考图保持不变，路径 L1-L4 保持不变；新文案体现对猫咪的拟人化语气。,18,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_food.jpg
CASE_062,Prompt 7·NL 策略修改路由至 strategy·生成新路径,用户输入根本性受众/角度修改指令 → 路由至 strategy，Prompt 8 生成新路径追加到列表,素材策略,帮我做一款折叠键盘的广告素材，品牌折叠派，卖点：三设备蓝牙切换、折叠厚度仅8mm、全尺寸手感、续航3个月，没有价格，已上传商品图,Agent 完成全链路生成卡片（初始路径针对商务人群）后；测试中用户输入 NL 指令「换成针对学生党的方向，考研备考那种场景」；Prompt 7 识别为 strategy 层修改；Agent 调用 Prompt 8 生成新路径（L2 聚焦学生考研场景），再调用 Prompt 5 和 6 生成新卡片追加在列表下方；新路径与原有路径 L2 明显不同。,20,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_063,Prompt 7·NL 同时涉及视觉+文案·路由至 visual+copy,用户 NL 输入同时描述画面和文案修改 → 路由至 visual+copy，不上升至 strategy,素材策略,帮我做一款男士护肤套装的广告素材，品牌叫清颜，卖点：烟酰胺提亮、玻尿酸补水、控油不假滑、适合敏感肌，没有价格，已上传商品图,Agent 完成卡片生成后；测试中用户输入 NL 指令「画面改成户外山地场景更阳刚，标题也改成更简短有力的」；Prompt 7 识别为 visual+copy（同时涉及画面和文案），不上升至 strategy；Agent 顺序执行 Prompt 5（重写文案）→ Prompt 6（重绘图片），路径 L1-L4 保持不变；修改后图文均更新。,18,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_skincare.jpg
CASE_064,Prompt 7·NL 无效输入路由至 invalid·Toast 提示,用户输入与卡片修改无关的内容 → 识别为 invalid，Toast 提示，不触发任何生成,素材策略,帮我做一款儿童故事机的广告素材，品牌讲讲，卖点：10000故事资源、自动跟读模式、防摔硅胶外壳、续航15小时，没有价格，已上传商品图,Agent 完成卡片生成后；测试中用户输入「今天天气真好，适合出去玩」；Prompt 7 识别为 invalid；前端展示 Toast 提示（如「未能理解修改意图，请描述您希望调整的方向」）；不调用 Prompt 5/6/8 任何下游；卡片内容保持不变。,18,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_065,精确操作·重新生成图片·仅触发 Prompt 6,用户点击卡片「重新生成图片」按钮 → 仅调用 Prompt 6，文案和路径不变，不进入撤销栈,素材策略,帮我做一款运动水壶的广告素材，品牌跑客，卖点：800ml大容量、弹盖一键开、防漏防摔、耐高温材质，没有价格，已上传商品图,Agent 完成卡片生成后；测试中用户点击某张卡片上的「重新生成图片」按钮（精确操作非 NL）；Agent 直接调用 Prompt 6 重绘该卡片参考图，不经过 Prompt 7；copy_variants 保持完全不变；路径 L1-L4 保持不变；重绘完成后只有图片部分更新；此操作不进入 NL 撤销栈。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_066,精确操作·重新生成文案·仅触发 Prompt 5,用户点击卡片「重新生成文案」按钮 → 仅调用 Prompt 5，图片和路径不变，不进入撤销栈,素材策略,帮我做一款电动剃须刀的广告素材，品牌速净，卖点：往复式六刀头、4小时快充、防水IPX7、自清洁功能，主打商务男士，没有价格，已上传商品图,Agent 完成卡片生成后；测试中用户点击某张卡片上的「重新生成文案」按钮（精确操作非 NL）；Agent 直接调用 Prompt 5 重写 copy_variants，不经过 Prompt 7；image_module 和参考图保持完全不变；路径 L1-L4 保持不变；此操作不进入 NL 撤销栈。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_070,Prompt 1 解析失败·字段留空进入确认页,用户输入文本 Prompt 1 解析失败 → 跳过，进入确认页字段留空，流程不中断,素材策略,@#$%！帮我做广告！！！快点！这是商品！！！已上传商品图,Agent 尝试 Prompt 1 信息提取失败或提取结果为空；不报错退出，正常进入 confirm_product_info 确认页；brief_info 字段为空，商品名称等字段也为空；用户手动填写完整信息后能正常继续推演流程；流程不因 Prompt 1 失败而中断。,12,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_071,单条卡片生成失败·其余卡片正常完成,多路径并发生成时 1 条路径的 Prompt 5/6 调用失败 → 该卡片显示失败提示，其余正常展示,素材策略,帮我做一款智能门锁的广告素材，品牌锁安，卖点：指纹+密码+NFC三合一、C级锁芯、虚位密码防偷窥、低电预警，没有价格，已上传商品图，帮我多生成几个方向,Agent 完成路径生成后用户在 HITL 2 选择3条路径；并发生成时模拟1条路径的 Prompt 5 调用失败；失败的卡片显示「生成失败，点击重试」提示；其余2张卡片正常完成并展示；HITL 3 提交已成功生成的卡片；整体流程不因单卡失败而整体回滚。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_072,生图服务失败·保留文字卡片标注失败,参考图生成服务异常 → 保留完整文字卡片，标注失败原因，不丢失文案内容,素材策略,帮我做一款咖啡机的广告素材，品牌晨醒，卖点：全自动研磨、15bar意式压力、内置奶泡机、30秒快热，没有价格，已上传商品图,Agent 完成 Prompt 5 卡片内容生成后，调用参考图生成服务失败；卡片展示时保留完整的 copy_variants 和 image_module 描述，标注「参考图生成失败，生图 Prompt 已保留」；不因生图失败而删除卡片或阻塞 HITL 3；用户仍可查看完整文字版创意方向。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片,branch,img_household.jpg
CASE_073,全局推演中途被用户终止·清空骨架屏,推演进行中用户点击「停止推演」 → 骨架屏清空，提示可重新开始，状态完全回滚,素材策略,帮我做一款投影仪的广告素材，品牌光影秀，卖点：1080P全高清、3000流明、自动梯形校正、内置Android系统，没有价格，已上传商品图,Agent 完成 HITL 1 和 HITL 2 后开始路径生成；测试中用户在推演进行中点击「⏹ 停止推演」按钮；前端清空骨架屏占位符；显示提示「推演已取消，可修改条件后重新开始」；Agent 停止所有正在进行的 Prompt 调用；用户点击重新开始后可正常重新发起推演。,12,行业分类 / 产品信息确认 / 路径选择,branch,img_electronics.jpg
CASE_074,多卡并发·部分路径失败·已生成卡片保留,3 路径并发生成时 1 条完整失败 → 成功的 2 张卡片保留，失败的销毁，前端提示保留数量,素材策略,帮我做一款洗发水的广告素材，品牌丝顺，卖点：氨基酸洗发、去屑止痒、蓬松弹力、无硅油配方，没有价格，已上传商品图，多选几个方向,Agent 完成路径生成后用户在 HITL 2 选择3条路径；并发生成时 1 条路径完整失败（Prompt 5 和 6 均失败）；已完成的2张卡片保留展示；失败路径对应的占位被销毁；前端显示提示「已成功生成 2 条路径，1 条生成失败」；HITL 3 提交2张卡片正常完成。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_food.jpg
BND_001,一票否决·无价格仍生成价格路径,price_info=null 时路径或文案中出现价格/促销内容 → 触发二节一票否决，判定 Fail,素材策略,帮我做一款有机棉T恤的广告素材，品牌叫棉生活，卖点：100%有机棉认证、无荧光剂、亲肤透气，没有价格，已上传商品图,Agent 识别 price_info=null；预期行为：全程无价格相关内容，所有路径和文案聚焦产品功能和情感价值；若生成路径中任何一条的 L1-L4 或卡片文案中出现价格、折扣、限时、特惠等促销相关内容，该用例判定为 Fail（触发二节一票否决）。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,boundary,img_clothing.jpg
BND_002,一票否决·L3 出现规定范围以外的心理钩子,任一路径的 L3 不属于规定 6 种心理钩子 → 触发二节一票否决，判定 Fail,素材策略,帮我做一款益生菌产品的广告素材，品牌菌优，卖点：10亿活性菌、专利菌株配方、肠道调理、适合全年龄段，没有价格，已上传商品图,Agent 生成的所有路径 L3 应严格为以下 6 种之一：身份认同 / 损失厌恶 / 限时紧迫 / 反差对比 / 认知失调 / 情感共鸣；若出现任何其他描述（如「好奇心驱动」「从众心理」「权威背书」等），触发二节一票否决，整体判定为 Fail；预期：每条路径 L3 明确标注为规定 6 种之一。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,boundary,img_food.jpg
BND_003,一票否决·L2 使用宽泛人群标签,任一路径 L2 使用宽泛标签而非具体人群+场合+痛点 → 触发二节一票否决，判定 Fail,素材策略,帮我做一款美白精华液的广告素材，品牌亮肌研，卖点：烟酰胺10%高浓度、传明酸提亮、7天见效、无刺激配方，没有价格，已上传商品图,Agent 生成的所有路径 L2 应包含：具体人群 + 具体场合 + 具体痛点/爽点；若任一路径 L2 仅写「年轻女性」「有美白需求的消费者」等宽泛描述，触发二节一票否决，判定为 Fail；预期：全部路径 L2 均达到人群+场合+痛点/爽点的具体化标准。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,boundary,img_skincare.jpg
BND_004,一票否决·NL invalid 输入触发了下游生成,Prompt 7 应识别无关 NL 为 invalid 并阻断，若触发任何生成则为四节一票否决,素材策略,帮我做一款折叠伞的广告素材，品牌晴雨随行，卖点：超轻165g、8骨抗风、全自动开收、防紫外线涂层，没有价格，已上传商品图,Agent 完成卡片生成后；测试中用户输入完全无关的 NL 内容（如「你知道今晚有什么好电影吗」）；Prompt 7 应识别为 invalid，显示 Toast 提示，不调用 Prompt 5/6/8 任何下游；卡片内容保持不变；若 invalid 输入触发了任何生成行为，触发四节一票否决，判定为 Fail。,18,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,boundary,img_household.jpg
BND_005,一票否决·必填字段缺失时仍可点击开始推演,商品名称/行业类目/核心卖点任一缺失时「开始推演」不得可点击，否则触发一票否决,素材策略,帮我做个广告素材，商品是一款净水器，已上传商品图（不提供任何其他信息）,Agent 触发 HITL 1 确认页；商品名称/行业类目字段为空或未完整填写，核心卖点为空；此时「开始推演」按钮应为不可点击/禁用状态；若在上述字段缺失的情况下「开始推演」按钮可被点击，或 Agent 绕过 HITL 1 直接推演，触发一节和五节一票否决，判定为 Fail；预期：按钮禁用直到字段补全。,8,行业分类 / 产品信息确认,boundary,img_electronics.jpg
